# Avida tasks data
# Wed Apr  2 13:46:30 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: And
#  3: OrNot

0 0 0 
1000 0 0 
2000 0 0 
3000 0 0 
4000 0 0 
5000 0 0 
6000 0 0 
7000 0 0 
8000 0 0 
9000 0 0 
10000 0 0 
11000 0 0 
12000 0 0 
13000 0 0 
14000 0 0 
15000 0 0 
16000 0 0 
17000 0 0 
18000 0 0 
19000 0 0 
20000 0 0 
21000 0 0 
22000 0 0 
23000 0 0 
24000 0 0 
25000 0 0 
26000 0 2 
27000 0 0 
28000 0 0 
29000 0 0 
30000 0 0 
31000 0 0 
32000 0 0 
33000 0 0 
34000 0 0 
35000 0 0 
36000 0 0 
37000 0 0 
38000 0 0 
39000 0 0 
40000 0 0 
41000 0 0 
42000 0 0 
43000 0 0 
44000 0 0 
45000 0 0 
46000 0 0 
47000 0 0 
48000 0 0 
49000 0 0 
50000 0 0 
51000 0 0 
52000 0 0 
53000 0 0 
54000 0 0 
55000 0 0 
56000 0 0 
57000 0 0 
58000 0 0 
59000 0 0 
60000 0 0 
61000 0 0 
62000 0 0 
63000 0 0 
64000 0 0 
65000 0 1 
66000 0 0 
67000 0 0 
68000 0 0 
69000 0 0 
70000 0 0 
71000 0 0 
72000 0 0 
73000 0 0 
74000 0 0 
75000 0 0 
76000 0 0 
77000 0 0 
78000 0 0 
79000 0 1 
80000 0 654 
81000 0 646 
82000 0 583 
83000 17 695 
84000 800 963 
85000 781 797 
86000 705 871 
87000 736 689 
88000 717 723 
89000 639 698 
90000 848 947 
91000 848 750 
92000 697 807 
93000 654 749 
94000 867 760 
95000 822 880 
96000 664 832 
97000 560 856 
98000 730 1019 
99000 825 1113 
100000 746 1126 
