# Sun Apr 13 23:54:28 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0354964 2 0 0.00373456 
6000 2 0.0307983 2 0 0.00316001 
7000 2 0.0156349 2 0 0.00143637 
8000 1 0 1 0 0 
9000 2 0.0234561 2 0 0.00229819 
10000 2 0.0307983 2 0 0.00316001 
11000 2 0.0531564 2 0 0.00603275 
12000 1 0 1 0 0 
13000 1 0 1 0 0 
14000 2 0.0960152 2 0 0.0123528 
15000 2 0.743668 2 0 0.211146 
16000 3 1.26036 3 0 0.340994 
17000 3 1.18537 3 0 0.306521 
18000 4 1.37068 4 0.0129273 0.373743 
19000 4 1.56425 4 0.0735421 0.469405 
20000 4 1.49402 4 0.105429 0.458489 
21000 4 1.56129 4 0.108877 0.490664 
22000 4 1.54967 4 0.0893421 0.470554 
23000 4 1.54087 4 0.11523 0.489368 
24000 4 1.54488 4 0.126975 0.510198 
25000 4 1.59207 4 0.100259 0.498995 
26000 4 1.54125 4 0.134195 0.508046 
27000 4 1.38594 4 0.124964 0.437231 
28000 4 1.64551 4 0.164033 0.590635 
29000 4 1.49597 4 0.112611 0.466245 
30000 4 1.58536 4 0.211433 0.641195 
31000 4 1.6164 4 0.138179 0.548406 
32000 4 1.46703 4 0.136455 0.480896 
33000 4 1.45592 4 0.130135 0.469405 
34000 4 1.48076 4 0.110026 0.457053 
35000 4 1.48607 4 0.112356 0.462644 
36000 4 1.52551 4 0.15915 0.529733 
37000 4 1.40612 4 0.182419 0.52054 
38000 4 1.38007 4 0.212295 0.563918 
39000 4 1.38802 4 0.100833 0.412525 
40000 4 1.34364 4 0.146222 0.450733 
41000 4 1.34478 4 0.179833 0.494973 
42000 4 1.34309 4 0.184483 0.504598 
43000 4 1.26981 4 0.095977 0.368103 
44000 4 1.25374 4 0.0993967 0.3657 
45000 4 1.30968 4 0.0861821 0.37834 
46000 4 1.29293 4 0.110888 0.391841 
47000 4 1.20946 4 0.134731 0.39414 
48000 4 1.25584 4 0.13046 0.402011 
49000 4 1.2201 4 0.185866 0.474576 
50000 4 1.24665 4 0.149095 0.424303 
51000 4 1.27906 4 0.149382 0.433496 
52000 4 1.21616 4 0.125575 0.384195 
53000 4 1.19936 4 0.0908046 0.338793 
54000 4 1.11364 4 0.140764 0.379776 
55000 4 0.942213 4 0.168678 0.38046 
56000 4 0.983222 4 0.158046 0.372414 
57000 4 0.962353 4 0.155702 0.365987 
58000 4 0.821434 4 0.106866 0.264866 
59000 4 0.839056 4 0.108877 0.275783 
60000 4 0.880467 4 0.10428 0.276357 
61000 4 0.956487 4 0.0833094 0.264866 
62000 4 1.25153 4 0.0436656 0.325481 
63000 4 1.37717 4 0.0591784 0.38782 
64000 4 1.32217 4 0.087044 0.399311 
65000 4 1.32196 4 0.121517 0.460787 
66000 4 1.3097 4 0.0683712 0.369721 
67000 4 1.45314 4 0.0416547 0.469405 
68000 4 1.48417 4 0.0637748 0.497845 
69000 4 1.33001 4 0.0453893 0.379489 
70000 4 1.19511 4 0.104598 0.385057 
71000 4 1.24813 4 0.0993967 0.394714 
72000 4 1.16813 4 0.112324 0.384947 
73000 4 1.23035 4 0.112899 0.428038 
74000 4 1.29514 4 0.090204 0.381787 
75000 4 1.29904 4 0.0761275 0.37719 
76000 4 1.24118 4 0.0726803 0.354209 
77000 4 1.4001 4 0.0620511 0.400747 
78000 4 1.30087 4 0.0767021 0.366849 
79000 4 1.42949 4 0.0709566 0.433496 
80000 4 1.34492 4 0.102557 0.422005 
