# Fri Apr  4 18:58:24 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 2 0.0354964 2 0 0.00373456 
3000 1 0 1 0 0 
4000 2 0.659823 2 0 0.170928 
5000 2 0.658512 2 0 0.170353 
6000 2 0.593685 2 0 0.143637 
7000 2 0.680454 2 0 0.180172 
8000 2 0.620414 2 0 0.154266 
9000 2 0.597373 2 0 0.145073 
10000 3 1.16484 3 0 0.293763 
11000 4 1.31168 4 0.0215455 0.339558 
12000 4 1.33497 4 0.0195346 0.350761 
13000 4 1.57332 4 0.096524 0.486642 
14000 4 1.56338 4 0.0948003 0.480609 
15000 4 1.4924 4 0.108015 0.462223 
16000 4 1.57444 4 0.117495 0.511347 
17000 4 1.52107 4 0.0913531 0.463947 
18000 4 1.57326 4 0.136168 0.539213 
19000 4 1.55256 4 0.0758403 0.471991 
20000 4 1.5117 4 0.0859195 0.452011 
21000 4 1.53121 4 0.062913 0.451594 
22000 4 1.60029 4 0.108908 0.510345 
23000 4 1.42164 4 0.0459638 0.390118 
24000 4 1.4438 4 0.0471129 0.404194 
25000 4 1.37991 4 0.0485493 0.372307 
26000 4 1.46004 4 0.041092 0.418966 
27000 4 1.56497 4 0.0646366 0.471704 
28000 4 1.49999 4 0.105429 0.481758 
29000 4 1.49875 4 0.1264 0.498707 
30000 4 1.45129 4 0.126113 0.476874 
31000 4 1.48372 4 0.125539 0.486642 
32000 4 1.44065 4 0.139615 0.496122 
33000 4 1.38647 4 0.0925022 0.413674 
34000 4 1.41342 4 0.078713 0.405918 
35000 4 1.36798 4 0.157139 0.502442 
36000 4 1.44454 4 0.19075 0.553577 
37000 4 1.52007 4 0.156851 0.532606 
38000 4 1.39382 4 0.18759 0.546969 
39000 4 1.48137 4 0.117495 0.464522 
40000 4 1.33521 4 0.179833 0.509624 
41000 4 1.39306 4 0.117208 0.431198 
42000 4 1.31186 4 0.10744 0.394714 
43000 4 1.47434 4 0.096524 0.442114 
44000 4 1.46946 4 0.144786 0.4921 
45000 4 1.48768 4 0.147946 0.506176 
46000 4 1.51982 4 0.164608 0.533467 
47000 4 1.53086 4 0.123886 0.493533 
48000 4 1.42334 4 0.126975 0.45734 
49000 4 1.37901 4 0.087044 0.396151 
50000 4 1.49842 4 0.114622 0.470267 
51000 4 1.3976 4 0.103706 0.421431 
52000 4 1.26076 4 0.185866 0.499856 
53000 4 1.2642 4 0.180982 0.475725 
54000 4 1.38646 4 0.13272 0.456191 
55000 4 1.36157 4 0.136455 0.448722 
56000 4 1.35732 4 0.182706 0.508475 
57000 4 1.33236 4 0.186153 0.500431 
58000 4 1.31629 4 0.12324 0.415685 
59000 4 1.38234 4 0.108589 0.419132 
60000 4 1.32389 4 0.085033 0.37403 
61000 4 1.37873 4 0.135593 0.447285 
62000 4 1.34823 4 0.112324 0.40994 
63000 4 1.41014 4 0.119793 0.441827 
64000 4 1.40915 4 0.151106 0.477449 
65000 4 1.37287 4 0.163459 0.483194 
66000 4 1.39009 4 0.0985349 0.412812 
67000 4 1.41021 4 0.120368 0.45102 
68000 4 1.39424 4 0.161161 0.486929 
69000 4 1.51002 4 0.12324 0.482333 
70000 4 1.41878 4 0.103706 0.427463 
71000 4 1.44592 4 0.0976731 0.43206 
72000 4 1.36914 4 0.0775639 0.385234 
73000 4 1.50777 4 0.0861821 0.449583 
74000 4 1.45285 4 0.103706 0.440391 
75000 4 1.35652 4 0.184717 0.510198 
76000 4 1.31027 4 0.109451 0.401034 
77000 4 1.33183 4 0.187302 0.504453 
78000 4 1.41 4 0.127262 0.449871 
79000 4 1.32666 4 0.146222 0.444987 
80000 4 1.37295 4 0.0744039 0.38351 
81000 4 1.32859 4 0.0511347 0.353059 
82000 4 1.39399 4 0.0744039 0.400747 
83000 4 1.40455 4 0.141051 0.465096 
84000 4 1.48555 4 0.104855 0.456765 
85000 4 1.32796 4 0.127262 0.423154 
86000 4 1.5157 4 0.0767021 0.451882 
87000 4 1.48083 4 0.0907785 0.44154 
88000 4 1.35157 4 0.0769894 0.379201 
89000 4 1.43396 4 0.118644 0.461649 
90000 4 1.40523 4 0.0916403 0.417983 
91000 4 1.52735 4 0.115771 0.501867 
92000 4 1.48644 4 0.112611 0.4763 
93000 4 1.52996 4 0.0801494 0.462511 
94000 4 1.31982 4 0.0324713 0.34569 
95000 4 1.40475 4 0.0356219 0.38351 
96000 4 1.46827 4 0.0528584 0.414536 
97000 4 1.41746 4 0.0399311 0.387245 
98000 4 1.34325 4 0.0224074 0.353634 
99000 4 1.36623 4 0.0344729 0.363114 
100000 4 1.50843 4 0.0634875 0.438667 
