# Avida tasks data
# Sun Oct 19 02:59:09 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: Not
#  3: AndNot
#  4: Nand
#  5: Or
#  6: Xor
#  7: OrNot
#  8: And
#  9: Nor
# 10: Equals

0 0 0 0 0 0 0 0 0 0 
1000 5 0 0 0 0 0 0 0 0 
2000 0 0 0 0 0 0 0 0 0 
3000 29 0 0 0 0 0 0 0 0 
4000 0 0 0 0 0 0 0 0 0 
5000 0 0 0 0 0 0 0 0 0 
6000 3 0 0 0 0 0 0 0 0 
7000 0 0 0 0 0 0 0 0 0 
8000 0 0 0 0 0 0 0 0 0 
9000 1 0 0 0 0 0 0 0 0 
10000 3 0 4 0 0 0 0 0 0 
11000 0 0 0 0 0 0 0 0 0 
12000 102 0 0 0 0 0 0 0 0 
13000 31 0 0 0 0 0 0 0 0 
14000 78 0 0 0 0 0 0 0 0 
15000 15 0 0 0 0 0 0 0 0 
16000 26 0 0 0 0 1 0 0 0 
17000 15 0 107 0 0 0 0 0 0 
18000 83 0 37 0 0 0 0 0 0 
19000 19 0 59 0 0 0 0 0 0 
20000 43 0 162 0 0 0 0 0 0 
21000 93 0 2 0 0 0 0 0 0 
22000 145 0 0 0 0 0 0 0 0 
23000 29 0 0 0 0 0 0 0 0 
24000 11 0 11 0 0 0 0 0 0 
25000 2 0 0 0 0 0 0 0 0 
26000 0 0 0 0 0 0 0 0 0 
27000 4 0 15 0 0 0 0 0 0 
28000 4 0 29 0 0 0 0 0 0 
29000 0 0 0 0 0 0 0 0 0 
30000 0 0 0 0 0 0 0 0 0 
31000 0 0 0 0 0 0 0 0 0 
32000 20 0 0 0 0 0 0 0 0 
33000 3 0 0 0 0 0 0 0 0 
34000 0 0 0 0 0 0 0 0 0 
35000 0 0 0 0 0 0 0 0 0 
36000 7 0 0 0 0 0 0 0 0 
37000 15 0 6 0 0 0 0 0 0 
38000 1 0 0 0 0 0 0 0 0 
39000 0 0 0 0 0 0 0 0 0 
40000 15 0 0 0 0 0 0 0 0 
41000 0 0 13 0 0 0 0 0 0 
42000 15 0 0 0 0 0 0 0 0 
43000 24 0 0 0 0 0 0 0 0 
44000 3 0 0 0 0 0 0 0 0 
45000 0 0 0 0 0 0 0 0 0 
46000 81 0 0 0 0 0 0 0 0 
47000 0 0 0 0 0 0 0 0 0 
48000 1 0 4 0 0 0 0 0 0 
49000 0 0 0 0 0 0 0 0 0 
50000 19 0 0 0 0 0 0 0 0 
51000 33 0 0 0 0 0 0 0 0 
52000 0 0 0 0 0 0 0 0 0 
53000 0 0 0 0 0 0 0 0 0 
54000 21 0 0 0 0 0 0 0 0 
55000 21 0 0 0 0 0 0 0 0 
56000 0 0 3 0 0 0 0 0 0 
57000 0 0 0 0 0 0 0 0 0 
58000 0 0 0 0 0 0 0 0 0 
59000 10 0 0 0 0 0 0 0 0 
60000 43 0 4 0 0 0 0 0 0 
61000 0 0 4 1 0 0 0 0 0 
62000 0 0 0 0 0 0 0 0 0 
63000 0 0 0 0 0 0 0 0 0 
64000 0 0 0 0 0 0 0 0 0 
65000 0 0 0 0 0 0 0 0 0 
66000 0 0 0 0 0 0 0 0 0 
67000 2 0 0 0 0 0 0 0 0 
68000 0 0 0 0 0 0 0 0 0 
69000 3 0 0 0 0 0 0 0 0 
70000 0 0 0 0 0 0 0 0 0 
71000 0 0 6 0 0 0 0 0 0 
72000 0 0 0 0 0 0 0 0 0 
73000 0 0 0 0 0 0 0 0 0 
74000 31 0 5 0 0 0 0 0 0 
75000 0 0 0 0 0 0 0 0 0 
76000 0 0 0 0 0 0 0 0 0 
77000 0 0 0 0 0 0 0 0 0 
78000 0 0 0 0 0 0 0 0 0 
79000 1 0 0 0 0 0 0 0 0 
80000 1 0 0 0 0 0 0 0 0 
81000 0 0 0 0 0 0 0 0 0 
82000 57 0 0 0 0 0 0 0 0 
83000 0 0 0 0 0 0 0 0 0 
84000 0 0 11 0 0 0 0 0 0 
85000 0 0 0 0 0 0 0 0 0 
86000 1 0 0 0 0 0 0 0 0 
87000 0 0 0 0 0 0 0 0 0 
88000 0 0 0 0 0 0 0 0 0 
89000 3 0 0 0 0 0 0 0 0 
90000 0 0 0 0 0 0 0 0 0 
91000 2 0 0 0 0 0 0 0 0 
92000 0 0 0 0 0 0 0 0 0 
93000 12 0 5 0 0 0 0 0 0 
94000 0 0 0 0 0 0 0 0 0 
95000 0 0 4 0 0 0 0 0 0 
96000 0 0 0 0 0 0 0 0 0 
97000 0 0 0 0 0 0 0 0 0 
98000 2 0 0 0 0 0 0 0 0 
99000 0 0 0 0 0 0 0 0 0 
100000 0 0 0 0 0 0 0 0 0 
