0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 2 0 0 0 0 0 0 0 0 0 0 0 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 2 0 0 2 2 0 2 0 0 0 0 0 0 0 0 0 0 4 0 4 0 4 0 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 0 2 2 2 2 2 2 0 0 0 0 0 0 4 0 0 4 4 4 0 0 0 0 0 4 0 4 0 0 4 4 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 1 1 0 1 0 0 1 1 1 1 1 1 0 2 2 2 2 2 0 2 2 0 0 0 4 4 4 4 4 0 0 4 0 4 0 4 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 2 0 2 0 2 0 2 2 2 2 0 4 0 2 2 4 4 4 4 4 4 0 4 0 0 4 4 4 4 4 4 0 4 4 4 0 0 0 0 0 0 0 
0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 0 2 0 2 2 0 2 2 2 0 4 2 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 4 0 16 0 0 0 0 0 0 0 
1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 0 1 1 0 2 2 2 2 2 2 2 2 0 4 2 0 4 4 4 4 4 4 4 4 4 4 4 0 4 4 4 4 4 4 4 16 4 4 0 4 0 0 0 0 
