# Thu Apr  3 22:13:12 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 2 0.0128813 2 0 0.00114943 
6000 1 0 1 0 0 
7000 1 0 1 0 0 
8000 2 0.0488843 2 0 0.0054582 
9000 2 0.596637 2 0 0.144786 
10000 2 0.5959 2 0 0.144499 
11000 2 0.643872 2 0 0.164033 
12000 3 0.772204 3 0 0.220914 
13000 2 0.73817 2 0 0.208273 
14000 3 0.844057 3 0 0.266016 
15000 2 0.819818 2 0 0.25546 
16000 2 0.782179 2 0 0.232404 
17000 2 0.680969 2 0 0.180408 
18000 2 0.722961 2 0 0.200517 
19000 4 1.15145 4 0.00861821 0.28555 
20000 3 1.37547 3 0 0.409652 
21000 4 1.51377 4 0.0238437 0.453031 
22000 4 1.48745 4 0.0376329 0.428038 
23000 3 1.3501 3 0 0.38908 
24000 3 1.39414 3 0 0.420282 
25000 4 1.36653 4 0.000287274 0.396151 
26000 3 1.31916 3 0 0.369147 
27000 4 1.32541 4 0.00172364 0.366849 
28000 4 1.29365 4 0.000574548 0.352772 
29000 4 1.17564 4 0.000287274 0.298765 
30000 3 1.12697 3 0 0.280954 
31000 4 1.15131 4 0.000287356 0.28592 
32000 3 1.26784 3 0 0.341569 
33000 4 1.25798 4 0.00402183 0.327205 
34000 4 1.30962 4 0.027291 0.337547 
35000 4 1.11844 4 0.000574548 0.273197 
36000 4 1.19223 4 0.00574548 0.298477 
37000 4 1.3647 4 0.0485493 0.365412 
38000 4 1.27264 4 0.0502729 0.340707 
39000 4 1.19106 4 0.00258546 0.30135 
40000 3 1.16929 3 0 0.296179 
41000 4 1.10754 4 0.000574548 0.268888 
42000 4 1.15115 4 0.000574713 0.287069 
43000 4 1.23668 4 0.0117782 0.31083 
44000 3 1.24571 3 0 0.331227 
45000 4 1.15977 4 0.000862069 0.290517 
46000 3 1.10223 3 0 0.26975 
47000 3 1.12179 3 0 0.274921 
48000 3 1.1871 3 0 0.306521 
49000 4 1.35772 4 0.0290147 0.359092 
50000 4 1.27291 4 0.00287274 0.336398 
51000 4 1.28678 4 0.00402183 0.341569 
52000 3 1.26826 3 0 0.344729 
53000 4 1.24842 4 0.000574548 0.330365 
54000 4 1.29136 4 0.00287274 0.351336 
55000 4 1.38678 4 0.0712439 0.390118 
56000 4 1.41827 4 0.041942 0.388681 
57000 4 1.31995 4 0.017811 0.344441 
58000 4 1.35461 4 0.0195346 0.36139 
59000 4 1.26346 4 0.017811 0.319448 
60000 4 1.25948 4 0.000574548 0.335248 
61000 3 1.21311 3 0 0.314852 
62000 4 1.1615 4 0.000574548 0.290721 
63000 4 1.23492 4 0.00201092 0.319736 
64000 4 1.13604 4 0.00287274 0.275208 
65000 3 1.10195 3 0 0.269463 
66000 4 1.26927 4 0.0155128 0.322321 
67000 4 1.21135 4 0.000287274 0.316288 
68000 3 1.21848 3 0 0.317438 
69000 4 1.09825 4 0.000574548 0.268601 
70000 3 1.13096 3 0 0.281816 
71000 3 1.25985 3 0 0.338696 
72000 3 1.20154 3 0 0.309284 
73000 4 1.21596 4 0.0201092 0.300776 
74000 3 1.08932 3 0 0.266016 
75000 3 1.1261 3 0 0.279023 
76000 3 1.00192 3 0 0.23499 
77000 3 1.00174 3 0 0.234415 
78000 3 0.716077 3 0 0.176673 
79000 3 0.697968 3 0 0.165757 
80000 3 0.634258 3 0 0.148521 
81000 4 0.69363 4 0.00172364 0.162597 
82000 4 0.811399 4 0.0180982 0.198793 
83000 4 1.02278 4 0.00861821 0.244757 
84000 4 0.876468 4 0.00976731 0.195633 
85000 3 0.673171 3 0 0.164895 
86000 4 0.81479 4 0.00517093 0.184717 
87000 3 1.00216 3 0 0.242172 
88000 3 0.902483 3 0 0.208561 
89000 3 0.699752 3 0 0.174375 
90000 3 0.967609 3 0 0.232979 
91000 3 1.09935 3 0 0.27291 
92000 3 1.12248 3 0 0.281528 
93000 3 1.06408 3 0 0.257397 
94000 3 1.10964 3 0 0.277506 
95000 3 1.17456 3 0 0.30135 
96000 3 1.14511 3 0 0.287848 
97000 3 0.801603 3 0 0.197644 
98000 3 0.988686 3 0 0.232184 
99000 3 1.02787 3 0 0.240517 
100000 3 1.0123 3 0 0.239586 
