# Wed Apr  9 15:44:09 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 2 0.619708 2 0 0.153979 
5000 2 0.67529 2 0 0.177822 
6000 2 0.710759 2 0 0.194484 
7000 2 0.720086 2 0 0.199081 
8000 2 0.695186 2 0 0.187015 
9000 2 0.697009 2 0 0.187877 
10000 3 0.690292 3 0 0.183281 
11000 2 0.770102 2 0 0.22551 
12000 2 0.751246 2 0 0.215168 
13000 2 0.720662 2 0 0.199368 
14000 4 1.35262 4 0.00459638 0.376041 
15000 4 1.47575 4 0.00316001 0.465671 
16000 4 1.47994 4 0.000861821 0.475438 
17000 4 1.36048 4 0.00402299 0.381034 
18000 4 1.41178 4 0.000861821 0.423729 
19000 3 1.41132 3 0 0.431485 
20000 3 1.44543 3 0 0.453318 
21000 4 1.58837 4 0.0318874 0.503304 
22000 4 1.54402 4 0.0359092 0.470554 
23000 4 1.52309 4 0.0281528 0.452169 
24000 4 1.42869 4 0.000287274 0.443551 
25000 3 1.42 3 0 0.441827 
26000 3 1.48122 3 0 0.48477 
27000 4 1.45532 4 0.0045977 0.447414 
28000 4 1.45412 4 0.00229885 0.446839 
29000 3 1.4383 3 0 0.446998 
30000 4 1.42423 4 0.00316001 0.42258 
31000 3 1.39354 3 0 0.415398 
32000 3 1.42318 3 0 0.435507 
33000 4 1.41361 4 0.0011491 0.424878 
34000 3 1.5009 3 0 0.504165 
35000 3 1.39864 3 0 0.423154 
36000 4 1.55382 4 0.0143637 0.503304 
37000 4 1.53245 4 0.0307383 0.465958 
38000 4 1.3885 4 0.000287274 0.410514 
39000 4 1.49355 4 0.045102 0.430911 
40000 4 1.43901 4 0.0218328 0.403907 
41000 3 1.36131 3 0 0.394427 
42000 4 1.5254 4 0.0364838 0.446423 
43000 4 1.48645 4 0.0425165 0.422292 
44000 4 1.46407 4 0.00890549 0.435507 
45000 4 1.40512 4 0.00287274 0.411376 
46000 4 1.466 4 0.00459638 0.448434 
47000 4 1.37537 4 0.00747126 0.383046 
48000 4 1.43427 4 0.014651 0.407641 
49000 4 1.45907 4 0.00229819 0.45102 
50000 3 1.3701 3 0 0.401896 
51000 3 1.40167 3 0 0.420569 
52000 3 1.39228 3 0 0.413962 
53000 4 1.37661 4 0.00344729 0.391554 
54000 4 1.38985 4 0.00517093 0.395576 
55000 4 1.45821 4 0.0316001 0.410227 
56000 4 1.4161 4 0.0152255 0.396438 
57000 4 1.4552 4 0.0215455 0.414823 
58000 4 1.36403 4 0.0011491 0.390692 
59000 3 1.42534 3 0 0.436943 
60000 3 1.43629 3 0 0.44786 
61000 3 1.43237 3 0 0.442114 
62000 4 1.36643 4 0.000862069 0.393103 
63000 4 1.33482 4 0.0011491 0.373456 
64000 3 1.4126 3 0 0.427751 
65000 4 1.34005 4 0.000574548 0.379776 
66000 4 1.56034 4 0.0206837 0.483769 
67000 4 1.50956 4 0.0221201 0.445562 
68000 3 1.42887 3 0 0.439529 
69000 3 1.40499 3 0 0.425165 
70000 3 1.40972 3 0 0.42574 
71000 3 1.40462 3 0 0.422292 
72000 3 1.35036 3 0 0.388394 
73000 4 1.42968 4 0.00373456 0.424591 
74000 4 1.37168 4 0.000574548 0.398736 
75000 4 1.35579 4 0.0011491 0.391554 
76000 4 1.42304 4 0.00689457 0.412525 
77000 4 1.48836 4 0.00316001 0.471416 
78000 3 1.4544 3 0 0.460213 
79000 4 1.36513 4 0.00143637 0.390405 
80000 4 1.35876 4 0.00172364 0.385809 
81000 4 1.3578 4 0.00229819 0.38351 
