# Tue Mar 25 17:00:07 2014
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
1000 1 0 1 0 0 
2000 1 0 1 0 0 
3000 1 0 1 0 0 
4000 1 0 1 0 0 
5000 1 0 1 0 0 
6000 2 0.338901 2 0 0.062913 
7000 2 0.769077 2 0 0.224935 
8000 2 0.720662 2 0 0.199368 
9000 2 0.738723 2 0 0.208561 
10000 2 0.738723 2 0 0.208561 
11000 2 0.652573 2 0 0.167768 
12000 2 0.659168 2 0 0.170641 
13000 2 0.773273 2 0 0.227299 
14000 2 0.677822 2 0 0.178972 
15000 2 0.67529 2 0 0.177822 
16000 2 0.673383 2 0 0.176961 
17000 2 0.805303 2 0 0.246264 
18000 2 0.763396 2 0 0.221775 
19000 2 0.670828 2 0 0.175812 
20000 2 0.678453 2 0 0.179259 
21000 2 0.709579 2 0 0.19391 
22000 2 0.82059 2 0 0.255961 
23000 2 0.846421 2 0 0.273485 
24000 2 0.655221 2 0 0.168917 
25000 2 0.580964 2 0 0.138753 
26000 2 0.610775 2 0 0.150374 
27000 2 0.58323 2 0 0.139615 
28000 2 0.623928 2 0 0.155702 
29000 2 0.645893 2 0 0.164895 
30000 2 0.649911 2 0 0.166619 
31000 2 0.615455 2 0 0.152255 
32000 2 0.56563 2 0 0.133008 
33000 2 0.516239 2 0 0.115484 
34000 2 0.588481 2 0 0.141626 
35000 2 0.493024 2 0 0.107728 
36000 2 0.586986 2 0 0.141051 
37000 2 0.594424 2 0 0.143924 
38000 3 0.592212 3 0 0.141913 
39000 2 0.58172 2 0 0.139041 
40000 2 0.559381 2 0 0.13071 
41000 3 0.631289 3 0 0.148521 
42000 4 1.25648 4 0.000574548 0.334099 
43000 4 1.31038 4 0.0011491 0.359954 
44000 4 1.27352 4 0.00775639 0.333525 
45000 3 1.2883 3 0 0.353161 
46000 4 1.4034 4 0.00775639 0.398736 
47000 4 1.35433 4 0.000574548 0.386958 
48000 4 1.39973 4 0.0155128 0.387245 
49000 4 1.40354 4 0.00373456 0.407641 
50000 4 1.47836 4 0.0224074 0.426889 
51000 4 1.34838 4 0.000861821 0.382361 
52000 4 1.35593 4 0.00976731 0.36886 
53000 3 1.38288 3 0 0.407641 
54000 3 1.37001 3 0 0.40046 
55000 4 1.39821 4 0.000861821 0.413387 
56000 3 1.27241 3 0 0.345977 
57000 4 1.53134 4 0.0330365 0.457914 
58000 4 1.36177 4 0.00430911 0.381787 
59000 4 1.49575 4 0.0247055 0.434358 
60000 4 1.53873 4 0.0505747 0.45977 
61000 4 1.40423 4 0.00689457 0.400747 
62000 4 1.53371 4 0.0232692 0.461649 
63000 4 1.52287 4 0.0232692 0.453605 
64000 4 1.60713 4 0.0864694 0.521402 
65000 4 1.55232 4 0.0413674 0.464522 
66000 4 1.53937 4 0.017811 0.474576 
67000 4 1.44863 4 0.00201092 0.451594 
68000 4 1.37686 4 0.00430911 0.389831 
69000 4 1.41947 4 0.00201092 0.425452 
70000 3 1.26187 3 0 0.33927 
71000 3 1.41364 3 0 0.432922 
72000 3 1.40202 3 0 0.422867 
73000 4 1.32064 4 0.00402183 0.359379 
74000 4 1.38354 4 0.00201092 0.402471 
75000 3 1.42032 3 0 0.436656 
76000 4 1.52115 4 0.0135057 0.485057 
77000 4 1.49972 4 0.0126437 0.458333 
78000 4 1.35745 4 0.00143637 0.38782 
79000 3 1.32815 3 0 0.374318 
80000 4 1.46994 4 0.01264 0.438667 
81000 4 1.53577 4 0.0698075 0.467394 
82000 3 1.37292 3 0 0.401321 
83000 4 1.47296 4 0.0229885 0.421839 
84000 3 1.39161 3 0 0.413387 
85000 4 1.41082 4 0.00201149 0.418966 
86000 4 1.50772 4 0.0198219 0.446998 
87000 3 1.40165 3 0 0.420282 
88000 3 1.3707 3 0 0.403907 
89000 4 1.3787 4 0.000574548 0.401896 
90000 4 1.47434 4 0.0066092 0.447989 
91000 4 1.3774 4 0.00459638 0.389543 
92000 4 1.49955 4 0.00775639 0.467969 
93000 4 1.40951 4 0.000287274 0.423729 
94000 3 1.4578 3 0 0.463373 
95000 4 1.395 4 0.00172364 0.407929 
96000 4 1.44017 4 0.00746912 0.422292 
97000 3 1.39781 3 0 0.417696 
98000 3 1.3916 3 0 0.414249 
99000 3 1.37068 3 0 0.399885 
100000 3 1.36759 3 0 0.399885 
