# Avida tasks data
# Sun Mar 30 14:04:16 2014
# First column gives the current update, next columns give the number
# of organisms that have the particular task as a component of their merit
#  1: Update
#  2: OrNot
#  3: AndNot

0 0 0 
1000 0 0 
2000 0 0 
3000 0 0 
4000 4 0 
5000 0 0 
6000 0 0 
7000 0 0 
8000 0 0 
9000 0 0 
10000 0 0 
11000 0 0 
12000 0 0 
13000 0 0 
14000 0 0 
15000 0 0 
16000 0 0 
17000 0 0 
18000 0 0 
19000 0 0 
20000 0 0 
21000 0 0 
22000 0 0 
23000 0 0 
24000 0 0 
25000 0 0 
26000 0 0 
27000 0 0 
28000 0 0 
29000 0 0 
30000 0 0 
31000 0 0 
32000 0 0 
33000 0 0 
34000 0 0 
35000 0 0 
36000 0 0 
37000 0 0 
38000 0 0 
39000 0 0 
40000 0 0 
41000 0 0 
42000 0 0 
43000 0 0 
44000 0 0 
45000 0 0 
46000 0 0 
47000 0 0 
48000 0 0 
49000 0 0 
50000 0 0 
51000 0 0 
52000 0 0 
53000 0 0 
54000 0 0 
55000 0 0 
56000 0 0 
57000 0 0 
58000 0 0 
59000 0 2 
60000 0 0 
61000 0 0 
62000 0 0 
63000 0 0 
64000 0 0 
65000 0 0 
66000 0 0 
67000 0 0 
68000 0 0 
69000 391 0 
70000 676 0 
71000 739 0 
72000 751 0 
73000 828 0 
74000 703 0 
75000 733 0 
76000 690 0 
77000 654 0 
78000 719 0 
79000 798 0 
80000 754 0 
81000 718 0 
82000 677 0 
83000 799 0 
84000 803 0 
85000 874 0 
86000 878 0 
87000 818 0 
88000 776 0 
89000 860 1 
90000 779 0 
91000 706 0 
92000 843 0 
93000 753 0 
94000 785 0 
95000 871 0 
96000 848 0 
97000 797 0 
98000 927 0 
99000 980 0 
100000 851 0 
